plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1	1.00	0.00	3.00	0.00	0.00	-0.00	2.63	0.00	-0.12	2.57	0.67	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	49.85	295.59	0.00	0.00	0.00	345.44	
1	1.00	0.00	3.00	0.00	0.00	-0.12	2.57	0.67	-0.00	2.63	0.67	-0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	199.42	280.37	479.78	
1	1.00	0.00	3.00	0.00	0.00	-0.12	2.57	0.00	-0.12	2.43	0.67	-0.12	2.57	1.50	0.0000	0.1000	0.0447	0.00	50.35	344.79	0.00	0.00	0.00	395.14	
1	1.00	0.00	3.00	0.00	0.00	-0.12	2.43	0.67	-0.12	2.57	0.67	-0.12	2.43	1.50	0.0000	0.1000	0.0447	0.00	0.00	0.00	0.00	50.35	336.68	387.03	
1	1.00	0.00	3.00	0.00	0.00	-0.12	2.43	0.00	0.00	2.37	0.67	-0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	290.35	0.00	0.00	0.00	290.35	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.37	0.67	-0.12	2.43	0.67	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	191.38	191.38	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.37	0.00	0.12	2.43	0.67	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	325.91	0.00	0.00	0.00	325.91	
1	1.00	0.00	3.00	0.00	0.00	0.12	2.43	0.67	0.00	2.37	0.67	0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	266.49	266.49	
1	1.00	0.00	3.00	0.00	0.00	0.12	2.43	0.00	0.12	2.57	0.67	0.12	2.43	1.50	0.0000	0.1000	0.0447	0.00	0.00	428.48	0.00	0.00	0.00	428.48	
1	1.00	0.00	3.00	0.00	0.00	0.12	2.57	0.67	0.12	2.43	0.67	0.12	2.57	1.50	0.0000	0.1000	0.0447	0.00	0.00	0.00	0.00	50.35	316.21	366.56	
1	1.00	0.00	3.00	0.00	0.00	0.12	2.57	0.00	-0.00	2.63	0.67	0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	49.85	274.00	0.00	0.00	0.00	323.86	
1	1.00	0.00	3.00	0.00	0.00	-0.00	2.63	0.67	0.12	2.57	0.67	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	249.27	248.65	497.92	
1	1.00	0.00	3.00	0.00	0.67	-0.00	2.63	0.67	-0.12	2.57	1.33	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	249.65	272.24	0.00	0.00	0.00	521.89	
1	1.00	0.00	3.00	0.00	0.67	-0.12	2.57	1.33	-0.00	2.63	1.33	-0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	199.72	216.59	416.31	
1	1.00	0.00	3.00	0.00	0.67	-0.12	2.57	0.67	-0.12	2.43	1.33	-0.12	2.57	1.50	0.0000	0.1000	0.0446	0.00	50.42	200.98	0.00	0.00	0.00	251.40	
1	1.00	0.00	3.00	0.00	0.67	-0.12	2.43	1.33	-0.12	2.57	1.33	-0.12	2.43	1.50	0.0000	0.1000	0.0446	0.00	0.00	0.00	0.00	50.42	250.10	300.52	
1	1.00	0.00	3.00	0.00	0.67	-0.12	2.43	0.67	0.00	2.37	1.33	-0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	244.80	0.00	0.00	0.00	244.80	
1	1.00	0.00	3.00	0.00	0.67	0.00	2.37	1.33	-0.12	2.43	1.33	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	215.27	215.27	
1	1.00	0.00	3.00	0.00	0.67	0.00	2.37	0.67	0.12	2.43	1.33	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	196.88	0.00	0.00	0.00	196.88	
1	1.00	0.00	3.00	0.00	0.67	0.12	2.43	1.33	0.00	2.37	1.33	0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	233.33	233.33	
1	1.00	0.00	3.00	0.00	0.67	0.12	2.43	0.67	0.12	2.57	1.33	0.12	2.43	1.50	0.0000	0.1000	0.0446	0.00	100.85	220.48	0.00	0.00	0.00	321.32	
1	1.00	0.00	3.00	0.00	0.67	0.12	2.57	1.33	0.12	2.43	1.33	0.12	2.57	1.50	0.0000	0.1000	0.0446	0.00	0.00	0.00	0.00	151.27	324.49	475.76	
1	1.00	0.00	3.00	0.00	0.67	0.12	2.57	0.67	-0.00	2.63	1.33	0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	249.65	243.15	0.00	0.00	0.00	492.80	
1	1.00	0.00	3.00	0.00	0.67	-0.00	2.63	1.33	0.12	2.57	1.33	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	449.37	350.15	799.52	
1	1.00	0.00	3.00	0.00	1.33	-0.00	2.63	1.33	-0.12	2.57	2.00	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	99.71	146.64	0.00	0.00	0.00	246.35	
1	1.00	0.00	3.00	0.00	1.33	-0.12	2.57	2.00	-0.00	2.63	2.00	-0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	149.56	187.75	337.31	
1	1.00	0.00	3.00	0.00	1.33	-0.12	2.57	1.33	-0.12	2.43	2.00	-0.12	2.57	1.50	0.0000	0.1000	0.0447	0.00	50.35	170.32	0.00	0.00	0.00	220.67	
1	1.00	0.00	3.00	0.00	1.33	-0.12	2.43	2.00	-0.12	2.57	2.00	-0.12	2.43	1.50	0.0000	0.1000	0.0447	0.00	0.00	0.00	0.00	100.70	164.08	264.77	
1	1.00	0.00	3.00	0.00	1.33	-0.12	2.43	1.33	0.00	2.37	2.00	-0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	192.84	0.00	0.00	0.00	192.84	
1	1.00	0.00	3.00	0.00	1.33	0.00	2.37	2.00	-0.12	2.43	2.00	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	149.81	149.81	
1	1.00	0.00	3.00	0.00	1.33	0.00	2.37	1.33	0.12	2.43	2.00	0.00	2.37	1.50	0.0000	0.1000	0.0451	0.00	0.00	201.07	0.00	0.00	0.00	201.07	
1	1.00	0.00	3.00	0.00	1.33	0.12	2.43	2.00	0.00	2.37	2.00	0.12	2.43	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	0.00	173.33	173.33	
1	1.00	0.00	3.00	0.00	1.33	0.12	2.43	1.33	0.12	2.57	2.00	0.12	2.43	1.50	0.0000	0.1000	0.0447	0.00	50.35	220.05	0.00	0.00	0.00	270.40	
1	1.00	0.00	3.00	0.00	1.33	0.12	2.57	2.00	0.12	2.43	2.00	0.12	2.57	1.50	0.0000	0.1000	0.0447	0.00	0.00	0.00	0.00	50.35	210.24	260.59	
1	1.00	0.00	3.00	0.00	1.33	0.12	2.57	1.33	-0.00	2.63	2.00	0.12	2.57	1.50	0.0000	0.1000	0.0451	0.00	249.27	244.82	0.00	0.00	0.00	494.09	
1	1.00	0.00	3.00	0.00	1.33	-0.00	2.63	2.00	0.12	2.57	2.00	-0.00	2.63	1.50	0.0000	0.1000	0.0451	0.00	0.00	0.00	0.00	149.56	202.02	351.58	
1	1.00	-2.00	5.00	0.00	2.00	-0.00	2.63	2.00	-0.12	2.57	2.90	-0.00	2.63	1.50	0.0000	0.1000	0.0610	0.00	221.19	186.34	0.00	0.00	0.00	407.53	
1	1.00	-2.00	5.00	0.00	2.00	-0.12	2.57	2.90	-0.00	2.63	2.90	-0.11	2.56	1.50	0.0000	0.1000	0.0580	0.00	0.00	0.00	0.00	77.57	162.73	240.30	
1	1.00	-2.00	5.00	0.00	2.00	-0.12	2.57	2.00	-0.12	2.43	2.90	-0.11	2.56	1.50	0.0000	0.1000	0.0604	0.00	37.23	263.07	0.00	0.00	0.00	300.30	
1	1.00	-2.00	5.00	0.00	2.00	-0.12	2.43	2.90	-0.11	2.56	2.90	-0.11	2.44	1.50	0.0000	0.1000	0.0577	0.00	0.00	0.00	0.00	0.00	141.03	141.03	
1	1.00	-2.00	5.00	0.00	2.00	-0.12	2.43	2.00	0.00	2.37	2.90	-0.11	2.44	1.50	0.0000	0.1000	0.0610	0.00	0.00	171.29	0.00	0.00	0.00	171.29	
1	1.00	-2.00	5.00	0.00	2.00	0.00	2.37	2.90	-0.11	2.44	2.90	0.00	2.37	1.50	0.0000	0.1000	0.0580	0.00	0.00	0.00	0.00	0.00	102.33	102.33	
1	1.00	-2.00	5.00	0.00	2.00	0.00	2.37	2.00	0.12	2.43	2.90	0.00	2.37	1.50	0.0000	0.1000	0.0610	0.00	0.00	155.69	0.00	0.00	0.00	155.69	
