plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.37	0.0	0.12	2.43	0.67	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	49.85	672.5999999999999	0.0	0.0	0.0	722.45
1.0	1.0	0.0	3.0	0.0	0.0	0.12	2.43	0.67	0.0	2.37	0.67	0.12	2.43	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	199.42	522.13	721.54
1.0	1.0	0.0	3.0	0.0	0.0	0.12	2.43	0.0	0.12	2.57	0.67	0.12	2.43	1.5	0.0	0.1	0.0447	0.0	50.35	699.9200000000001	0.0	0.0	0.0	750.27
1.0	1.0	0.0	3.0	0.0	0.0	0.12	2.57	0.67	0.12	2.43	0.67	0.12	2.57	1.5	0.0	0.1	0.0447	0.0	0.0	0.01	0.0	100.7	631.29	732.0
1.0	1.0	0.0	3.0	0.0	0.0	0.12	2.57	0.0	0.0	2.63	0.67	0.12	2.57	1.5	0.0	0.1	0.0451	0.0	0.0	682.04	0.0	0.0	0.01	682.05
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.63	0.67	0.12	2.57	0.67	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	149.56	480.19	629.75
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.63	0.0	-0.12	2.57	0.67	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	149.56	680.58	0.0	0.0	0.0	830.1400000000001
1.0	1.0	0.0	3.0	0.0	0.0	-0.12	2.57	0.67	0.0	2.63	0.67	-0.12	2.57	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	99.71	526.13	625.84
1.0	1.0	0.0	3.0	0.0	0.0	-0.12	2.57	0.0	-0.12	2.43	0.67	-0.12	2.57	1.5	0.0	0.1	0.0447	0.0	0.0	763.86	0.0	0.0	0.0	763.86
1.0	1.0	0.0	3.0	0.0	0.0	-0.12	2.43	0.67	-0.12	2.57	0.67	-0.12	2.43	1.5	0.0	0.1	0.0447	0.0	0.0	0.0	0.0	50.35	550.0899999999999	600.44
1.0	1.0	0.0	3.0	0.0	0.0	-0.12	2.43	0.0	0.0	2.37	0.67	-0.12	2.43	1.5	0.0	0.1	0.0451	0.0	49.85	630.05	0.0	0.0	0.0	679.9100000000001
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.37	0.67	-0.12	2.43	0.67	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	249.27	509.24	758.51
1.0	1.0	0.0	3.0	0.0	0.67	0.0	2.37	0.67	0.12	2.43	1.33	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	249.65	453.15	0.0	0.0	0.0	702.8
1.0	1.0	0.0	3.0	0.0	0.67	0.12	2.43	1.33	0.0	2.37	1.33	0.12	2.43	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	199.72	402.81	602.53
1.0	1.0	0.0	3.0	0.0	0.67	0.12	2.43	0.67	0.12	2.57	1.33	0.12	2.43	1.5	0.0	0.1	0.0446	0.0	151.26999999999998	463.40999999999997	0.0	0.0	0.0	614.68
1.0	1.0	0.0	3.0	0.0	0.67	0.12	2.57	1.33	0.12	2.43	1.33	0.12	2.57	1.5	0.0	0.1	0.0446	0.0	0.0	0.0	0.0	50.42	493.7	544.12
1.0	1.0	0.0	3.0	0.0	0.67	0.12	2.57	0.67	0.0	2.63	1.33	0.12	2.57	1.5	0.0	0.1	0.0451	0.0	99.86	487.56	0.0	0.0	0.0	587.4200000000001
1.0	1.0	0.0	3.0	0.0	0.67	0.0	2.63	1.33	0.12	2.57	1.33	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	149.79	517.25	667.04
1.0	1.0	0.0	3.0	0.0	0.67	0.0	2.63	0.67	-0.12	2.57	1.33	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	249.65	398.65	0.0	0.0	0.0	648.29
1.0	1.0	0.0	3.0	0.0	0.67	-0.12	2.57	1.33	0.0	2.63	1.33	-0.12	2.57	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	199.72	445.62	645.34
1.0	1.0	0.0	3.0	0.0	0.67	-0.12	2.57	0.67	-0.12	2.43	1.33	-0.12	2.57	1.5	0.0	0.1	0.0446	0.0	252.12	400.31	0.0	0.0	0.0	652.4200000000001
1.0	1.0	0.0	3.0	0.0	0.67	-0.12	2.43	1.33	-0.12	2.57	1.33	-0.12	2.43	1.5	0.0	0.1	0.0446	0.0	0.0	0.0	0.0	151.27	572.09	723.36
1.0	1.0	0.0	3.0	0.0	0.67	-0.12	2.43	0.67	0.0	2.37	1.33	-0.12	2.43	1.5	0.0	0.1	0.0451	0.0	249.65	410.42	0.0	0.0	0.0	660.07
1.0	1.0	0.0	3.0	0.0	0.67	0.0	2.37	1.33	-0.12	2.43	1.33	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	449.37	497.30999999999995	946.68
1.0	1.0	0.0	3.0	0.0	1.33	0.0	2.37	1.33	0.12	2.43	2.0	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	99.71	350.15	0.0	0.0	0.0	449.86
1.0	1.0	0.0	3.0	0.0	1.33	0.12	2.43	2.0	0.0	2.37	2.0	0.12	2.43	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	149.56	339.73	489.28999999999996
1.0	1.0	0.0	3.0	0.0	1.33	0.12	2.43	1.33	0.12	2.57	2.0	0.12	2.43	1.5	0.0	0.1	0.0447	0.0	151.05	366.07	0.0	0.0	0.0	517.12
1.0	1.0	0.0	3.0	0.0	1.33	0.12	2.57	2.0	0.12	2.43	2.0	0.12	2.57	1.5	0.0	0.1	0.0447	0.0	0.0	0.0	0.0	201.4	327.24	528.63
1.0	1.0	0.0	3.0	0.0	1.33	0.12	2.57	1.33	0.0	2.63	2.0	0.12	2.57	1.5	0.0	0.1	0.0451	0.0	299.13	309.29	0.0	0.0	0.0	608.41
1.0	1.0	0.0	3.0	0.0	1.33	0.0	2.63	2.0	0.12	2.57	2.0	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	199.42	338.13	537.55
1.0	1.0	0.0	3.0	0.0	1.33	0.0	2.63	1.33	-0.12	2.57	2.0	0.0	2.63	1.5	0.0	0.1	0.0451	0.0	149.56	342.81	0.0	0.0	0.0	492.37
1.0	1.0	0.0	3.0	0.0	1.33	-0.12	2.57	2.0	0.0	2.63	2.0	-0.12	2.57	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	398.84	400.63	799.47
1.0	1.0	0.0	3.0	0.0	1.33	-0.12	2.57	1.33	-0.12	2.43	2.0	-0.12	2.57	1.5	0.0	0.1	0.0447	0.0	50.35	385.98	0.0	0.0	0.0	436.33
1.0	1.0	0.0	3.0	0.0	1.33	-0.12	2.43	2.0	-0.12	2.57	2.0	-0.12	2.43	1.5	0.0	0.1	0.0447	0.0	0.0	0.0	0.0	100.7	373.28	473.97999999999996
1.0	1.0	0.0	3.0	0.0	1.33	-0.12	2.43	1.33	0.0	2.37	2.0	-0.12	2.43	1.5	0.0	0.1	0.0451	0.0	249.27	430.81	0.0	0.0	0.0	680.0799999999999
1.0	1.0	0.0	3.0	0.0	1.33	0.0	2.37	2.0	-0.12	2.43	2.0	0.0	2.37	1.5	0.0	0.1	0.0451	0.0	0.0	0.0	0.0	149.56	481.88	631.44
1.0	1.0	-2.0	5.0	0.0	2.0	0.0	2.37	2.0	0.12	2.43	2.9	0.0	2.37	1.5	0.0	0.1	0.061	0.0	221.19	346.74	0.0	0.0	0.0	567.93
1.0	1.0	-2.0	5.0	0.0	2.0	0.12	2.43	2.9	0.0	2.37	2.9	0.11	2.44	1.5	0.0	0.1	0.058	0.0	0.0	0.0	0.0	77.57	325.4	402.97
1.0	1.0	-2.0	5.0	0.0	2.0	0.12	2.43	2.0	0.12	2.57	2.9	0.11	2.44	1.5	0.0	0.1	0.0604	0.0	74.46	429.9	0.0	0.0	0.0	504.36
1.0	1.0	-2.0	5.0	0.0	2.0	0.12	2.57	2.9	0.11	2.44	2.9	0.11	2.56	1.5	0.0	0.1	0.0577	0.0	0.0	0.0	0.0	0.0	255.69	255.69
1.0	1.0	-2.0	5.0	0.0	2.0	0.12	2.57	2.0	0.0	2.63	2.9	0.11	2.56	1.5	0.0	0.1	0.061	0.0	221.19	373.48	0.0	0.0	0.0	594.67
1.0	1.0	-2.0	5.0	0.0	2.0	0.0	2.63	2.9	0.11	2.56	2.9	0.0	2.63	1.5	0.0	0.1	0.058	0.0	0.0	0.0	0.0	271.49	215.5	486.97999999999996
1.0	1.0	-2.0	5.0	0.0	2.0	0.0	2.63	2.0	-0.12	2.57	2.9	0.0	2.63	1.5	0.0	0.1	0.061	0.0	110.6	308.43	0.0	0.0	0.0	419.02
1.0	1.0	-2.0	5.0	0.0	2.0	-0.12	2.57	2.9	0.0	2.63	2.9	-0.11	2.56	1.5	0.0	0.1	0.058	0.0	0.0	0.0	0.0	271.49	204.07	475.56
1.0	1.0	-2.0	5.0	0.0	2.0	-0.12	2.57	2.0	-0.12	2.43	2.9	-0.11	2.56	1.5	0.0	0.1	0.0604	0.0	74.46	363.6	0.0	0.0	0.0	438.06
1.0	1.0	-2.0	5.0	0.0	2.0	-0.12	2.43	2.9	-0.11	2.56	2.9	-0.11	2.44	1.5	0.0	0.1	0.0577	0.0	0.0	0.0	0.0	0.0	286.07	286.07
1.0	1.0	-2.0	5.0	0.0	2.0	-0.12	2.43	2.0	0.0	2.37	2.9	-0.11	2.44	1.5	0.0	0.1	0.061	0.0	331.79	428.41999999999996	0.0	0.0	0.0	760.2099999999999
