plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.18	0.00	0.27	2.34	0.97	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	268.23	0.00	0.00	0.00	268.23	
1	1.00	0.00	3.00	0.00	0.00	0.27	2.34	0.97	0.00	2.18	0.97	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	216.25	216.25	
1	1.00	0.00	3.00	0.00	0.00	0.27	2.34	0.00	0.27	2.66	0.97	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	45.26	363.81	0.00	0.00	0.00	409.07	
1	1.00	0.00	3.00	0.00	0.00	0.27	2.66	0.97	0.27	2.34	0.97	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	30.17	225.19	255.36	
1	1.00	0.00	3.00	0.00	0.00	0.27	2.66	0.00	0.00	2.82	0.97	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	165.54	320.73	0.00	0.00	0.01	486.28	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.82	0.97	0.27	2.66	0.97	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	195.63	269.22	464.85	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.82	0.00	-0.27	2.66	0.97	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	135.44	301.87	0.00	0.00	0.01	437.31	
1	1.00	0.00	3.00	0.00	0.00	-0.27	2.66	0.97	0.00	2.82	0.97	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	346.12	248.40	594.52	
1	1.00	0.00	3.00	0.00	0.00	-0.27	2.66	0.00	-0.27	2.34	0.97	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	30.17	324.50	0.00	0.00	0.00	354.67	
1	1.00	0.00	3.00	0.00	0.00	-0.27	2.34	0.97	-0.27	2.66	0.97	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	15.09	232.95	248.03	
1	1.00	0.00	3.00	0.00	0.00	-0.27	2.34	0.00	0.00	2.18	0.97	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	270.91	0.00	0.00	0.00	270.91	
1	1.00	0.00	3.00	0.00	0.00	0.00	2.18	0.97	-0.27	2.34	0.97	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	265.86	265.86	
1	1.00	0.00	3.00	0.00	0.97	0.00	2.18	0.97	0.27	2.34	1.93	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	199.20	0.00	0.00	0.00	199.20	
1	1.00	0.00	3.00	0.00	0.97	0.27	2.34	1.93	0.00	2.18	1.93	0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	202.88	202.88	
1	1.00	0.00	3.00	0.00	0.97	0.27	2.34	0.97	0.27	2.66	1.93	0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	45.31	210.70	0.00	0.00	0.00	256.00	
1	1.00	0.00	3.00	0.00	0.97	0.27	2.66	1.93	0.27	2.34	1.93	0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	60.41	214.89	275.30	
1	1.00	0.00	3.00	0.00	0.97	0.27	2.66	0.97	0.00	2.82	1.93	0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	241.03	199.82	0.00	0.00	0.00	440.85	
1	1.00	0.00	3.00	0.00	0.97	0.00	2.82	1.93	0.27	2.66	1.93	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	346.48	255.81	602.29	
1	1.00	0.00	3.00	0.00	0.97	0.00	2.82	0.97	-0.27	2.66	1.93	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	225.97	281.58	0.00	0.00	0.00	507.54	
1	1.00	0.00	3.00	0.00	0.97	-0.27	2.66	1.93	0.00	2.82	1.93	-0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	316.35	204.24	520.59	
1	1.00	0.00	3.00	0.00	0.97	-0.27	2.66	0.97	-0.27	2.34	1.93	-0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	30.20	246.30	0.00	0.00	0.00	276.51	
1	1.00	0.00	3.00	0.00	0.97	-0.27	2.34	1.93	-0.27	2.66	1.93	-0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	15.10	184.96	200.06	
1	1.00	0.00	3.00	0.00	0.97	-0.27	2.34	0.97	0.00	2.18	1.93	-0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	203.18	0.00	0.00	0.00	203.18	
1	1.00	0.00	3.00	0.00	0.97	0.00	2.18	1.93	-0.27	2.34	1.93	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	190.50	190.51	
1	1.00	0.00	3.00	0.00	1.93	0.00	2.18	1.93	0.27	2.34	2.90	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	182.40	0.00	0.00	0.00	182.40	
1	1.00	0.00	3.00	0.00	1.93	0.27	2.34	2.90	0.00	2.18	2.90	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	196.45	196.45	
1	1.00	0.00	3.00	0.00	1.93	0.27	2.34	1.93	0.27	2.66	2.90	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	30.17	240.20	0.00	0.00	0.00	270.37	
1	1.00	0.00	3.00	0.00	1.93	0.27	2.66	2.90	0.27	2.34	2.90	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	45.26	193.35	238.61	
1	1.00	0.00	3.00	0.00	1.93	0.27	2.66	1.93	0.00	2.82	2.90	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	270.88	173.77	0.00	0.00	0.00	444.65	
1	1.00	0.00	3.00	0.00	1.93	0.00	2.82	2.90	0.27	2.66	2.90	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	391.27	133.74	525.01	
1	1.00	0.00	3.00	0.00	1.93	0.00	2.82	1.93	-0.27	2.66	2.90	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	331.07	174.32	0.00	0.00	0.00	505.39	
1	1.00	0.00	3.00	0.00	1.93	-0.27	2.66	2.90	0.00	2.82	2.90	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	451.46	201.43	652.89	
1	1.00	0.00	3.00	0.00	1.93	-0.27	2.66	1.93	-0.27	2.34	2.90	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	90.52	209.80	0.00	0.00	0.00	300.32	
1	1.00	0.00	3.00	0.00	1.93	-0.27	2.34	2.90	-0.27	2.66	2.90	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	45.26	222.60	267.86	
1	1.00	0.00	3.00	0.00	1.93	-0.27	2.34	1.93	0.00	2.18	2.90	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	188.35	0.00	0.00	0.00	188.35	
1	1.00	0.00	3.00	0.00	1.93	0.00	2.18	2.90	-0.27	2.34	2.90	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	185.88	185.88	
1	1.00	0.00	3.00	0.00	2.90	0.00	2.18	2.90	0.27	2.34	3.87	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	176.81	0.00	0.00	0.00	176.81	
1	1.00	0.00	3.00	0.00	2.90	0.27	2.34	3.87	0.00	2.18	3.87	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	189.73	189.73	
1	1.00	0.00	3.00	0.00	2.90	0.27	2.34	2.90	0.27	2.66	3.87	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	75.43	218.07	0.00	0.00	0.00	293.51	
1	1.00	0.00	3.00	0.00	2.90	0.27	2.66	3.87	0.27	2.34	3.87	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	30.17	206.14	236.31	
1	1.00	0.00	3.00	0.00	2.90	0.27	2.66	2.90	0.00	2.82	3.87	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	270.88	177.46	0.00	0.00	0.00	448.34	
1	1.00	0.00	3.00	0.00	2.90	0.00	2.82	3.87	0.27	2.66	3.87	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	451.46	174.32	625.78	
1	1.00	0.00	3.00	0.00	2.90	0.00	2.82	2.90	-0.27	2.66	3.87	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	346.12	126.32	0.00	0.00	0.00	472.45	
1	1.00	0.00	3.00	0.00	2.90	-0.27	2.66	3.87	0.00	2.82	3.87	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	300.98	158.39	459.37	
1	1.00	0.00	3.00	0.00	2.90	-0.27	2.66	2.90	-0.27	2.34	3.87	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	45.26	180.44	0.00	0.00	0.00	225.70	
1	1.00	0.00	3.00	0.00	2.90	-0.27	2.34	3.87	-0.27	2.66	3.87	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	45.26	233.94	279.20	
1	1.00	0.00	3.00	0.00	2.90	-0.27	2.34	2.90	0.00	2.18	3.87	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	169.23	0.00	0.00	0.00	169.23	
1	1.00	0.00	3.00	0.00	2.90	0.00	2.18	3.87	-0.27	2.34	3.87	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	208.28	208.28	
1	1.00	0.00	3.00	0.00	3.87	0.00	2.18	3.87	0.27	2.34	4.83	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	202.83	0.00	0.00	0.00	202.83	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.34	4.83	0.00	2.18	4.83	0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	166.07	166.07	
1	1.00	0.00	3.00	0.00	3.87	0.27	2.34	3.87	0.27	2.66	4.83	0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	75.51	193.97	0.00	0.00	0.00	269.48	
