plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.18	0.0	0.27	2.34	0.97	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	135.44	570.1	0.0	0.0	0.01	705.54
1.0	1.0	0.0	3.0	0.0	0.0	0.27	2.34	0.97	0.0	2.18	0.97	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	464.65	810.77
1.0	1.0	0.0	3.0	0.0	0.0	0.27	2.34	0.0	0.27	2.66	0.97	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	75.43	688.31	0.0	0.0	0.0	763.74
1.0	1.0	0.0	3.0	0.0	0.0	0.27	2.66	0.97	0.27	2.34	0.97	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	45.260000000000005	458.14	503.39
1.0	1.0	0.0	3.0	0.0	0.0	0.27	2.66	0.0	0.0	2.82	0.97	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	165.54	591.6400000000001	0.0	0.0	0.01	757.19
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.82	0.97	0.27	2.66	0.97	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	195.63	535.08	730.71
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.82	0.0	-0.27	2.66	0.97	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	135.44	570.1	0.0	0.0	0.01	705.54
1.0	1.0	0.0	3.0	0.0	0.0	-0.27	2.66	0.97	0.0	2.82	0.97	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	464.65	810.77
1.0	1.0	0.0	3.0	0.0	0.0	-0.27	2.66	0.0	-0.27	2.34	0.97	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	75.43	688.31	0.0	0.0	0.0	763.74
1.0	1.0	0.0	3.0	0.0	0.0	-0.27	2.34	0.97	-0.27	2.66	0.97	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	45.260000000000005	458.14	503.39
1.0	1.0	0.0	3.0	0.0	0.0	-0.27	2.34	0.0	0.0	2.18	0.97	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	165.54	591.6400000000001	0.0	0.0	0.01	757.19
1.0	1.0	0.0	3.0	0.0	0.0	0.0	2.18	0.97	-0.27	2.34	0.97	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	195.63	535.08	730.71
1.0	1.0	0.0	3.0	0.0	0.97	0.0	2.18	0.97	0.27	2.34	1.93	0.0	2.18	0.45	0.0	0.078	0.153	0.0	225.97	480.78	0.0	0.0	0.0	706.74
1.0	1.0	0.0	3.0	0.0	0.97	0.27	2.34	1.93	0.0	2.18	1.93	0.27	2.34	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	316.35	407.12	723.47
1.0	1.0	0.0	3.0	0.0	0.97	0.27	2.34	0.97	0.27	2.66	1.93	0.27	2.34	0.45	0.0	0.078	0.1526	0.0	75.51	457.0	0.0	0.0	0.0	532.51
1.0	1.0	0.0	3.0	0.0	0.97	0.27	2.66	1.93	0.27	2.34	1.93	0.27	2.66	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	75.50999999999999	399.85	475.36
1.0	1.0	0.0	3.0	0.0	0.97	0.27	2.66	0.97	0.0	2.82	1.93	0.27	2.66	0.45	0.0	0.078	0.153	0.0	241.03	403.0	0.0	0.0	0.0	644.03
1.0	1.0	0.0	3.0	0.0	0.97	0.0	2.82	1.93	0.27	2.66	1.93	0.0	2.82	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	446.31	792.8
1.0	1.0	0.0	3.0	0.0	0.97	0.0	2.82	0.97	-0.27	2.66	1.93	0.0	2.82	0.45	0.0	0.078	0.153	0.0	225.97	480.78	0.0	0.0	0.0	706.74
1.0	1.0	0.0	3.0	0.0	0.97	-0.27	2.66	1.93	0.0	2.82	1.93	-0.27	2.66	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	316.35	407.12	723.47
1.0	1.0	0.0	3.0	0.0	0.97	-0.27	2.66	0.97	-0.27	2.34	1.93	-0.27	2.66	0.45	0.0	0.078	0.1526	0.0	75.51	457.0	0.0	0.0	0.0	532.51
1.0	1.0	0.0	3.0	0.0	0.97	-0.27	2.34	1.93	-0.27	2.66	1.93	-0.27	2.34	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	75.50999999999999	399.85	475.36
1.0	1.0	0.0	3.0	0.0	0.97	-0.27	2.34	0.97	0.0	2.18	1.93	-0.27	2.34	0.45	0.0	0.078	0.153	0.0	241.03	403.0	0.0	0.0	0.0	644.03
1.0	1.0	0.0	3.0	0.0	0.97	0.0	2.18	1.93	-0.27	2.34	1.93	0.0	2.18	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	446.31	792.8
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.18	1.93	0.27	2.34	2.9	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	331.07	356.72	0.0	0.0	0.0	687.79
1.0	1.0	0.0	3.0	0.0	1.93	0.27	2.34	2.9	0.0	2.18	2.9	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	397.88	849.3399999999999
1.0	1.0	0.0	3.0	0.0	1.93	0.27	2.34	1.93	0.27	2.66	2.9	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	120.69	450.0	0.0	0.0	0.0	570.69
1.0	1.0	0.0	3.0	0.0	1.93	0.27	2.66	2.9	0.27	2.34	2.9	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	90.52	415.95	506.47
1.0	1.0	0.0	3.0	0.0	1.93	0.27	2.66	1.93	0.0	2.82	2.9	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	270.88	362.12	0.0	0.0	0.0	633.0
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.82	2.9	0.27	2.66	2.9	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	319.62	710.89
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.82	1.93	-0.27	2.66	2.9	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	331.07	356.72	0.0	0.0	0.0	687.79
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.66	2.9	0.0	2.82	2.9	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	397.88	849.3399999999999
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.66	1.93	-0.27	2.34	2.9	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	120.69	450.0	0.0	0.0	0.0	570.69
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.34	2.9	-0.27	2.66	2.9	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	90.52	415.95	506.47
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.34	1.93	0.0	2.18	2.9	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	270.88	362.12	0.0	0.0	0.0	633.0
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.18	2.9	-0.27	2.34	2.9	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	319.62	710.89
